id;ddsconc;ddsdata;ddslocal;ddspremioest;ddspr07;ddspr06;ddspr05;ddspr04;ddsprmes;ddsgan07;ddsgan06;ddsgan05;ddsgan04;ddsganmes;dds01;dds02;dds03;dds04;dds05;dds06;dds07;ddsdmes;ddscidadesgan;;;;;;;;;;
1;1;2018-05-19;GOIÂNIA, GO;1.000.000,00;957.949,23;1.992,96;20,00;4,00;2,00;1;206;7.250;94.747;276.204;3;5;8;9;19;21;30;2;;;;;;;;;;;
2;2;2018-05-22;SÃO PAULO, SP;500.000,00;752.176,93;2.731,88;20,00;4,00;2,00;1;118;4.506;58.532;195.268;8;11;12;14;20;21;28;12;;;;;;;;;;;
3;3;2018-05-24;SÃO PAULO, SP;500.000,00;769.663,08;3.835,53;20,00;4,00;2,00;1;86;3.780;58.680;237.328;11;12;21;24;25;28;29;4;;;;;;;;;;;
4;4;2018-05-26;FERNANDÓPOLIS, SP;500.000,00;0,00;1.812,18;20,00;4,00;2,00;0;172;7.299;90.279;207.914;6;7;13;15;18;19;29;1;;;;;;;;;;;
5;5;2018-05-29;SÃO PAULO, SP;1.200.000,00;0,00;2.318,99;20,00;4,00;2,00;0;176;7.199;91.828;219.620;2;8;9;17;19;24;28;12;;;;;;;;;;;
6;6;2018-06-02;JATAÍ, GO;2.400.000,00;1.522.363,99;3.232,30;20,00;4,00;2,00;2;181;8.149;111.572;362.869;1;11;18;19;26;30;31;2;;;;;;;;;;;
7;7;2018-06-05;SÃO PAULO, SP;600.000,00;911.052,25;2.352,12;20,00;4,00;2,00;1;166;6.472;83.823;223.216;2;5;6;14;20;24;25;1;;;;;;;;;;;
8;8;2018-06-07;SÃO PAULO, SP;500.000,00;0,00;2.446,03;20,00;4,00;2,00;0;138;6.015;82.995;288.985;1;4;13;21;22;24;27;9;;;;;;;;;;;
9;9;2018-06-09;GOIÁS, GO;1.500.000,00;550.090,55;1.566,56;20,00;4,00;2,00;3;236;7.904;98.858;297.537;3;10;13;18;19;23;24;8;;;;;;;;;;;
10;10;2018-06-12;SÃO PAULO, SP;500.000,00;0,00;1.807,61;20,00;4,00;2,00;0;189;7.078;91.165;246.739;6;10;13;18;19;20;30;8;;;;;;;;;;;
11;11;2018-06-14;SÃO PAULO, SP;1.500.000,00;0,00;1.379,52;20,00;4,00;2,00;0;247;8.149;91.754;291.867;7;13;16;19;20;27;31;9;;;;;;;;;;;
