idduplasena;dsconc;dsdata;dslocal;dspremioest;ds01pr06;ds01pr05;ds01pr04;ds01pr03;ds02pr06;ds02pr05;ds02pr04;ds02pr03;ds01gan06;ds01gan05;ds01gan04;ds01gan03;ds02gan06;ds02gan05;ds02gan04;ds02gan03;ds01d01;ds01d02;ds01d03;ds01d04;ds01d05;ds01d06;ds02d01;ds02d02;ds02d03;ds02d04;ds02d05;ds02d06;dscidadesgan
1;1;2001-11-06;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.317,59;97,16;0,00;0;0;0;0;0;55;1.307;0;7;15;24;41;48;50;9;37;41;43;44;49;
2;2;2001-11-09;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.655,40;45,98;0,00;0;0;0;0;0;35;2.014;0;4;9;11;32;38;42;9;13;19;24;29;46;
3;3;2001-11-13;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;4.719,93;78,13;0,00;0;0;0;0;0;21;1.264;0;11;34;42;44;45;47;12;24;30;40;47;48;
4;4;2001-11-16;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;10.668,17;81,59;0,00;0;0;0;0;0;8;1.042;0;29;38;43;44;46;50;2;7;11;44;46;49;
5;5;2001-11-20;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;2.943,35;55,26;0,00;0;0;0;0;0;34;1.804;0;7;12;16;25;32;40;3;10;12;19;26;49;
6;6;2001-11-23;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;7.283,67;100,09;0,00;0;0;0;0;0;16;1.160;0;9;13;14;16;31;41;2;31;35;36;42;47;
7;7;2001-11-27;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.475,19;59,40;0,00;0;0;0;0;0;35;2.040;0;6;9;17;23;24;32;5;8;28;30;32;45;
8;8;2001-11-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;5.070,93;86,89;0,00;0;0;0;0;0;22;1.279;0;11;24;29;32;38;39;2;14;17;30;31;39;
9;9;2001-12-04;SÃO PAULO, SP;0,00;2.979.726,32;0,00;0,00;0,00;0,00;8.219,01;107,08;0,00;1;0;0;0;0;17;1.300;0;10;18;22;37;42;44;10;26;31;37;42;46;
10;10;2001-12-07;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;0,00;3.082,65;70,94;0,00;0;0;0;0;0;31;1.342;0;17;19;31;34;39;44;4;5;11;20;24;40;
