idfederal;fedconc;feddata;fedlocal;fedpremioest;feds01;feds02;feds03;feds04;feds05;fedpr01;fedpr02;fedpr03;fedpr04;fedpr05;fedcidgan01;fedcidgan02;fedcidgan03;fedcidgan04;fedcidgan05
1;1;1990-01-01;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
2;2;1990-01-02;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
3;3;1990-01-03;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
4;4;1990-01-04;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
5;5;1990-01-05;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
6;6;1990-01-06;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
7;7;1990-01-07;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
8;8;1990-01-08;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
9;9;1990-01-09;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
10;10;1990-01-10;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
11;11;1990-01-11;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
12;12;1990-01-12;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
13;13;1990-01-13;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
14;14;1990-01-14;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
15;15;1990-01-15;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
16;16;1990-01-16;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
17;17;1990-01-17;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
18;18;1990-01-18;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
19;19;1990-01-19;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
20;20;1990-01-20;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
21;21;1990-01-21;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
22;22;1990-01-22;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
23;23;1990-01-23;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
24;24;1990-01-24;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
25;25;1990-01-25;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
26;26;1990-01-26;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
27;27;1990-01-27;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
28;28;1990-01-28;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
29;29;1990-01-29;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
30;30;1990-01-30;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
31;31;1990-01-31;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
32;32;1990-02-01;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
33;33;1990-02-02;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
34;34;1990-02-03;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
35;35;1990-02-04;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
36;36;1990-02-05;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
37;37;1990-02-06;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
38;38;1990-02-07;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
39;39;1990-02-08;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
40;40;1990-02-09;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
41;41;1990-02-10;SÃO PAULO, SP;0,00;0;0;0;0;0;0,00;0,00;0,00;0,00;0,00;;;;;
