"idquina";"quiconc";"quidata";"quilocal";"quipremioest";"quipr05";"quipr04";"quipr03";"quipr02";"quigan05";"quigan04";"quigan03";"quigan02";"quid01";"quid02";"quid03";"quid04";"quid05";"quicidadesgan"
1;1;"1994-03-13 00:00:00";"";"0";"75.731.225,00";"1.788.927,00";"42.982,00";"0";"3";"127";"7030";"0";25;45;60;76;79;""
2;2;"1994-03-17 00:00:00";"";"0";"118.499.397,00";"1.128.565,00";"32.422,00";"0";"1";"105";"4861";"0";13;30;58;63;64;""
3;3;"1994-03-20 00:00:00";"";"0";"154.244.270,00";"664.846,00";"20.120,00";"0";"1";"232";"10196";"0";5;15;32;33;48;""
4;4;"1994-03-24 00:00:00";"";"0";"124.185.246,00";"1.592.119,00";"40.954,00";"0";"1";"78";"4033";"0";27;57;60;61;77;""
5;5;"1994-03-27 00:00:00";"";"0";"147.595.715,00";"1.077.341,00";"36.774,00";"0";"1";"137";"5338";"0";19;44;53;54;71;""
6;6;"1994-04-03 00:00:00";"";"0";"165.397.879,00";"1.053.490,00";"30.192,00";"0";"1";"157";"7286";"0";4;45;54;65;67;""
7;7;"1994-04-07 00:00:00";"";"0";"77.956.048,00";"1.019.033,00";"36.891,00";"0";"2";"153";"5621";"0";9;21;37;42;68;""
8;8;"1994-04-10 00:00:00";"";"215.049.006,00";"0";"1.208.140,00";"34.501,00";"0";"0";"178";"8290";"0";5;16;26;28;62;""
9;9;"1994-04-14 00:00:00";"";"452.843.743,00";"0";"1.486.217,00";"41.701,00";"0";"0";"160";"7584";"0";4;15;44;64;73;""
10;10;"1994-04-17 00:00:00";"";"735.323.913,00";"0";"2.414.361,00";"61.701,00";"0";"0";"117";"6089";"0";20;32;49;54;62;""
11;11;"1994-04-24 00:00:00";"";"0";"417.312.858,00";"1.949.489,00";"54.140,00";"0";"3";"265";"12691";"0";17;33;52;60;76;""
