idtimemania;tmmconc;tmmdata;tmmlocal;tmmpremioest;tmmpr07;tmmpr06;tmmpr05;tmmpr04;tmmpr03;tmmprtime;tmmgan07;tmmgan06;tmmgan05;tmmgan04;tmmgan03;tmmgantime;tmmd01;tmmd02;tmmd03;tmmd04;tmmd05;tmmd06;tmmd07;tmmdtime;tmmcidadesgan
1;1;2008-03-01;SÃO PAULO, SP;1.000.000,00;0,00;59.909,90;730,61;6;2;2;0;6;328;6.032;60.403;13.122;24;31;51;57;63;71;80;PALMAS/TO;
2;2;2008-03-08;SÃO PAULO, SP;1.200.000,00;0,00;28.097,91;592,79;6;2;2;0;10;316;5.882;58.525;104.390;18;20;25;31;50;63;77;SÃO PAULO/SP;
3;3;2008-03-15;SÃO PAULO, SP;1.500.000,00;0,00;47.354,51;651,88;6;2;2;0;7;339;6.107;59.464;15.486;9;21;29;36;43;72;74;NÁUTICO/PE;
4;4;2008-03-22;SÃO PAULO, SP;2.500.000,00;0,00;91.378,01;728,11;6;2;2;0;3;251;4.335;41.945;8.069;15;38;54;66;68;70;71;SÃO RAIMUNDO/AM;
5;5;2008-03-29;SÃO PAULO, SP;2.800.000,00;0,00;71.074,74;662,70;6;2;2;0;4;286;6.299;62.221;11.655;15;20;23;24;51;54;58;MIXTO/MT;
6;6;2008-04-05;SÃO PAULO, SP;3.200.000,00;0,00;24.917,39;445,26;6;2;2;0;13;485;8.170;73.407;7.956;1;8;17;55;59;60;80;RIO BRANCO/AC;
7;7;2008-04-13;SÃO PAULO, SP;3.500.000,00;0,00;26.967,79;380,31;6;2;2;0;11;520;8.025;68.820;9.684;15;18;29;37;42;55;77;UBERLÂNDIA/MG;
8;8;2008-04-20;SÃO PAULO, SP;4.000.000,00;0,00;72.897,70;1.214,96;6;2;2;0;4;160;3.535;37.706;41.652;48;50;61;71;74;75;76;ATLÉTICO/MG;
9;9;2008-04-27;SÃO PAULO, SP;5.000.000,00;0,00;27.875,95;509,15;6;2;2;0;10;365;6.786;60.068;10.484;5;24;37;56;58;69;78;PALMAS/TO;
10;10;2008-05-04;SÃO PAULO, SP;5.300.000,00;0,00;40.556,59;575,27;6;2;2;0;7;329;5.926;57.026;13.880;1;14;23;37;53;59;74;JI-PARANÁ / RO;
11;11;2008-05-10;SÃO PAULO, SP;5.500.000,00;0,00;74.920,28;718,66;6;2;2;0;4;278;6.236;62.546;7.719;3;11;12;37;50;71;75;PAULISTA/SP;
12;12;2008-05-17;SÃO PAULO, SP;6.000.000,00;0,00;19.878,09;383,32;6;2;2;0;14;484;8.180;72.164;8.344;2;13;15;24;39;56;73;AMÉRICA/RN;
13;13;1905-06-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;6;28;32;37;73;75;79;UNIÃO BARBARENSE/SP;
14;14;2008-05-31;SÃO PAULO, SP;7.500.000,00;0,00;44.949,50;657,57;6;2;2;0;7;319;6.465;63.078;14.132;15;19;32;51;57;60;68;BRASILIENSE/DF;
15;15;2008-06-08;SÃO PAULO, SP;7.800.000,00;0,00;21.364,89;412,45;6;2;2;0;15;518;8.328;70.267;13.094;3;9;20;21;25;58;64;VILA NOVA/GO;
16;16;2008-06-15;SÃO PAULO, SP;500.000,00;7.818.108,56;63.692,65;545,78;6;2;2;1;5;389;8.245;72.098;26.605;5;38;42;52;55;57;59;FORTALEZA/CE;
17;17;2008-06-22;SÃO PAULO, SP;500.000,00;0,00;18.155,20;472,79;6;2;2;0;10;256;4.344;38.401;8.187;10;12;20;23;30;50;53;FIGUEIRENSE/SC;
18;18;1905-06-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0;0;0;0;0;0;0;0;0;9;15;26;33;54;63;70;PORTUGUESA DESPORTOS/SP;
19;19;2008-07-06;SÃO PAULO, SP;1.500.000,00;0,00;65.919,72;749,09;6;2;2;0;3;176;3.482;36.198;6.181;26;38;44;49;55;60;75;CSA/AL;
20;20;2008-07-13;SÃO PAULO, SP;1.800.000,00;0,00;14.803,84;303,67;6;2;2;0;14;455;4.248;41.695;10.277;19;28;37;39;53;64;73;FIGUEIRENSE/SC;
