id;spsconc;spsdata;spslocal;spspremioest;spspr07;spspr06;spspr05;spspr04;spspr03;spsgan07;spsgan06;spsgan05;spsgan04;spsgan03;spsd01;spsd02;spsd03;spsd04;spsd05;spsd06;spsd07;spscidadesgan
1;1;2020-10-02;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;2;9;9;8;7;7;6;-
2;2;2020-10-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;8;8;1;5;6;7;7;-
3;3;2020-10-07;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;7;2;6;6;5;4;4;-
4;4;2020-10-09;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;5;7;8;1;8;2;5;-
5;5;2020-10-14;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;6;4;0;1;0;6;9;-
6;6;2020-10-16;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;5;7;3;3;4;1;1;-
7;7;2020-10-19;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;0;7;7;6;4;4;9;-
8;8;2020-10-21;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;7;0;9;2;0;2;5;-
9;9;2020-10-23;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;8;6;2;0;2;6;7;-
10;10;2020-10-26;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;8;9;9;2;9;6;5;-
11;11;2020-10-28;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;6;0;7;5;6;0;9;-
12;12;2020-10-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;0;3;2;8;9;0;-
13;13;2020-11-04;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;9;9;7;4;6;0;-
14;14;2020-11-06;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;7;4;0;9;4;7;4;-
15;15;2020-11-09;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;6;8;1;7;9;9;-
16;16;2020-11-11;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;5;7;2;6;9;4;4;-
17;17;2020-11-13;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;8;2;3;5;8;6;-
18;18;2020-11-16;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;8;2;4;8;6;8;-
19;19;2020-11-18;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;0;0;0;1;4;3;3;-
20;20;2020-11-20;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;4;9;3;9;8;1;3;-
21;21;2020-11-23;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;7;8;7;9;9;8;8;-
22;22;2020-11-25;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;8;2;1;1;8;9;4;-
23;23;2020-11-27;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;0;7;5;5;4;7;0;-
24;24;2020-11-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;6;9;5;9;2;1;5;-
25;25;2020-12-02;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;8;4;8;9;5;0;8;-
26;26;2020-12-04;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;9;5;2;1;5;9;0;-
27;27;2020-12-07;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;7;9;8;6;1;1;6;-
28;28;2020-12-09;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;3;4;6;9;6;3;-
29;29;2020-12-11;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;5;0;7;2;9;9;0;-
30;30;2020-12-14;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;2;1;1;6;8;6;7;-
31;31;2020-12-16;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;4;1;5;5;3;5;6;-
32;32;2020-12-18;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;6;2;9;0;9;7;8;-
33;33;2020-12-21;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;1;8;3;6;2;2;2;-
34;34;2020-12-23;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;4;1;0;5;2;3;6;-
35;35;2020-12-26;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;4;4;7;6;0;4;2;-
36;36;2020-12-28;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;9;5;1;6;0;8;1;-
37;37;2020-12-30;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;0;7;8;3;6;2;4;-
38;38;2021-01-04;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;9;2;2;6;2;5;5;-
39;39;2021-01-06;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;9;1;2;7;6;8;5;-
40;40;2021-01-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;1;1;9;0;4;4;4;-
41;41;2021-01-11;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;3;7;5;0;2;1;-
42;42;2021-01-13;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;5;8;4;3;5;1;7;-
43;43;2021-01-15;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;8;1;4;4;6;4;7;-
44;44;2021-01-18;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;5;9;8;2;5;3;-
45;45;2021-01-20;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;1;7;1;7;9;4;7;-
46;46;2021-01-22;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;9;3;7;3;6;5;2;-
47;47;2021-01-25;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;7;9;8;0;0;8;1;-
48;48;2021-01-27;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;4;0;3;0;7;9;1;-
49;49;2021-01-29;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;4;0;3;8;8;0;4;-
50;50;2021-02-01;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;0;4;5;8;6;0;6;-
51;51;2021-02-03;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;5;4;1;3;4;2;8;-
52;52;2021-02-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;5;1;3;9;8;0;0;-
53;53;2021-02-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;9;1;2;9;7;4;9;-
54;54;2021-02-10;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;2;0;2;1;3;8;2;-
55;55;2021-02-12;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;5;2;3;9;3;8;4;-
56;56;2021-02-17;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;6;8;7;5;1;7;3;-
57;57;2021-02-19;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;1;9;5;5;9;4;9;-
58;58;2021-02-22;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;4;0;3;9;5;2;3;-
59;59;2021-02-24;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;2;8;9;2;3;4;9;-
60;60;2021-02-26;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;1;2;1;6;6;9;5;-
61;61;2021-03-01;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;8;7;5;2;3;3;9;-
62;62;2021-03-03;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;3;3;3;0;4;7;8;-
63;63;2021-03-05;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;2;6;8;7;1;5;4;-
64;64;2021-03-08;SÃO PAULO, SP;0,00;0,00;0,00;0,00;0,00;5,00;0;0;0;0;0;6;1;3;5;1;9;4;-
